Признак,Вес
AGE,-0.055204062716940026
NUM_LOANS,-0.0017738017194026724
CHILD_TOTAL,-0.0013491645617583713
NUM_CLOSED_LOANS,-0.0012234013086477881
GENDER,-0.00104605794194428
FAMILY_INCOME=от 10000 до 20000 руб.,-0.0008706795373957466
SOCSTATUS_WORK_FL,-0.0007999640660149421
MARITAL_STATUS=Состою в браке,-0.0007728220446882625
EDUCATION=Среднее,-0.0005105904352666352
EDUCATION=Среднее специальное,-0.0004976019053247955
DEPENDANTS,-0.0004760131198146579
SOCSTATUS_PENS_FL,-0.0004144276137599756
FAMILY_INCOME=от 5000 до 10000 руб.,-0.0003610678004408622
FL_PRESENCE_FL,-0.00031017705463479183
MARITAL_STATUS=Не состоял в браке,-0.00023717567402736206
EDUCATION=Высшее,-0.00012099676323470054
FAMILY_INCOME=свыше 50000 руб.,9.924388297107673e-05
MARITAL_STATUS=Вдовец/Вдова,-8.650789951180051e-05
MARITAL_STATUS=Разведен(а),-4.627642458971153e-05
EDUCATION=Неполное среднее,-4.4797661817566595e-05
EDUCATION=Неоконченное высшее,1.8067208295022484e-05
FAMILY_INCOME=до 5000 руб.,-1.3238765347506168e-05
PERSONAL_INCOME,1.1900585550157342e-05
MARITAL_STATUS=Гражданский брак,-1.1457302947354171e-05
FAMILY_INCOME=от 20000 до 50000 руб.,-8.497125551453164e-06
OWN_AUTO,-2.648287510380876e-06
EDUCATION=Два и более высших образования,1.9807789878358316e-06
EDUCATION=Ученая степень,-3.0056740365106716e-07
